날짜,년도,월,일,요일,공휴일
2016.1.1,2016,1,1,금,신정(양력설)
2016.2.7,2016,2,7,일,설날 연휴
2016.2.8,2016,2,8,월,설날
2016.2.9,2016,2,9,화,설날 연휴
2016.3.1,2016,3,1,화,3·1절
2016.5.5,2016,5,5,목,어린이날
2016.5.14,2016,5,14,토,석가탄신일
2016.6.6,2016,6,6,월,현충일
2016.8.15,2016,8,15,월,광복절
2016.9.14,2016,9,14,수,추석 연휴
2016.9.15,2016,9,15,목,추석
2016.9.16,2016,9,16,금,추석 연휴
2016.10.3,2016,10,3,월,개천절
2016.10.9,2016,10,9,일,한글날
2016.12.25,2016,12,25,일,크리스마스
2017.1.1,2017,1,1,일,신정(양력설)
2017.1.27,2017,1,27,금,설날 연휴
2017.1.28,2017,1,28,토,설날
2017.1.29,2017,1,29,일,설날 연휴
2017.3.1,2017,3,1,수,3·1절
2017.5.3,2017,5,3,수,석가탄신일
2017.5.5,2017,5,5,금,어린이날
2017.5.9,2017,5,9,화,19대 대통령선거
2017.6.6,2017,6,6,화,현충일
2017.8.15,2017,8,15,화,광복절
2017.10.3,2017,10,3,화,개천절
2017.10.3,2017,10,3,화,추석 연휴
2017.10.4,2017,10,4,수,추석
2017.10.5,2017,10,5,목,추석 연휴
2017.10.9,2017,10,9,월,한글날
2017.12.25,2017,12,25,월,크리스마스
2018.1.1,2018,1,1,월,신정(양력설)
2018.2.15,2018,2,15,목,설날 연휴
2018.2.16,2018,2,16,금,설날
2018.2.17,2018,2,17,토,설날 연휴
2018.3.1,2018,3,1,목,3·1절
2018.5.5,2018,5,5,토,어린이날
2018.5.22,2018,5,22,화,부처님 오신날
2018.6.6,2018,6,6,수,현충일
2018.8.15,2018,8,15,수,광복절
2018.9.23,2018,9,23,일,추석 연휴
2018.9.24,2018,9,24,월,추석
2018.9.25,2018,9,25,화,추석 연휴
2018.10.3,2018,10,3,수,개천절
2018.10.9,2018,10,9,화,한글날
2018.12.25,2018,12,25,화,크리스마스
2019.1.1,2019,1,1,화,신정(양력설)
2019.2.4,2019,2,4,월,설날 연휴
2019.2.5,2019,2,5,화,설날
2019.2.6,2019,2,6,수,설날 연휴
2019.3.1,2019,3,1,금,3·1절
2019.5.5,2019,5,5,일,어린이날
2019.5.12,2019,5,12,일,부처님 오신날
2019.6.6,2019,6,6,목,현충일
2019.8.15,2019,8,15,목,광복절
2019.9.12,2019,9,12,목,추석 연휴
2019.9.13,2019,9,13,금,추석
2019.9.14,2019,9,14,토,추석 연휴
2019.10.3,2019,10,3,목,개천절
2019.10.9,2019,10,9,수,한글날
2019.12.25,2019,12,25,수,크리스마스
2020.1.1,2020,1,1,수,신정(양력설)
2020.1.24,2020,1,24,금,설날 연휴
2020.1.25,2020,1,25,토,설날
2020.1.26,2020,1,26,일,설날 연휴
2020.3.1,2020,3,1,일,3·1절
2020.4.15,2020,4,15,수,21대 국회의원선거
2020.4.30,2020,4,30,목,부처님 오신날
2020.5.5,2020,5,5,화,어린이날
2020.6.6,2020,6,6,토,현충일
2020.8.15,2020,8,15,토,광복절
2020.9.30,2020,9,30,수,추석 연휴
2020.10.1,2020,10,1,목,추석
2020.10.2,2020,10,2,금,추석 연휴
2020.10.3,2020,10,3,토,개천절
2020.10.9,2020,10,9,금,한글날
2020.12.25,2020,12,25,금,크리스마스
2021.1.1,2021,1,1,금,신정(양력설)
2021.2.11,2021,2,11,목,설날 연휴
2021.2.12,2021,2,12,금,설날
2021.2.13,2021,2,13,토,설날 연휴
2021.3.1,2021,3,1,월,3·1절
2021.5.5,2021,5,5,수,어린이날
2021.5.19,2021,5,19,수,부처님 오신날
2021.6.6,2021,6,6,일,현충일
2021.8.15,2021,8,15,일,광복절
2021.9.20,2021,9,20,월,추석 연휴
2021.9.21,2021,9,21,화,추석
2021.9.22,2021,9,22,수,추석 연휴
2021.10.3,2021,10,3,일,개천절
2021.10.9,2021,10,9,토,한글날
2021.12.25,2021,12,25,토,크리스마스
