일자,중식계,석식계
2021-01-27,883.5209,396.8104
2021-01-28,907.3813,463.50375
2021-01-29,807.84106,388.87036
2021-02-01,1164.0397,513.06177
2021-02-02,968.20337,511.29486
2021-02-03,806.07025,137.63365
2021-02-04,875.9403,296.48254
2021-02-05,674.7772,357.23563
2021-02-08,1186.7006,487.95724
2021-02-09,1030.8813,459.68225
2021-02-10,925.2501,384.17816
2021-02-15,1202.6422,538.71295
2021-02-16,971.2723,576.5806
2021-02-17,809.4307,400.2325
2021-02-18,933.08606,533.1043
2021-02-19,672.45984,383.72232
2021-02-22,1333.5398,601.95184
2021-02-23,969.4245,574.97955
2021-02-24,980.71484,362.24835
2021-02-25,856.336,297.24854
2021-02-26,714.2489,492.4161
2021-03-02,959.83295,582.87317
2021-03-03,932.89557,86.525345
2021-03-04,919.37915,488.7311
2021-03-05,668.3165,396.50928
2021-03-08,1298.1648,589.65393
2021-03-09,972.6458,528.7691
2021-03-10,863.55444,383.47522
2021-03-11,1018.2465,499.0236
2021-03-12,646.0295,378.99393
2021-03-15,1205.4603,331.95844
2021-03-16,992.35345,501.6482
2021-03-17,900.91437,340.7306
2021-03-18,950.86694,374.7373
2021-03-19,643.21735,379.64417
2021-03-22,1382.0292,568.193
2021-03-23,1027.1029,491.16388
2021-03-24,998.3283,300.25708
2021-03-25,979.38007,449.60007
2021-03-26,782.7447,429.87326
2021-03-29,1244.3452,467.31247
2021-03-30,964.5423,552.0223
2021-03-31,933.7331,355.5215
2021-04-01,954.92395,443.22815
2021-04-02,612.8485,366.6653
2021-04-05,1367.9144,554.3431
2021-04-06,932.1581,543.31256
2021-04-07,951.8974,433.13193
2021-04-08,822.62006,434.66483
2021-04-09,752.89026,384.85666
